UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,13305,2613305,São Joaquim do Monte
26,Pernambuco,2601,Recife,260007,Barreiros - Sirinhaém,4,Mata Pernambucana,15,Mata Meridional Pernambucana,13404,2613404,São José da Coroa Grande
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,2,Salgueiro,13503,2613503,São José do Belmonte
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,13602,2613602,São José do Egito
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,17,Recife,13701,2613701,São Lourenço da Mata
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,3,Agreste Pernambucano,10,Médio Capibaribe,13800,2613800,São Vicente Férrer
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,3,Pajeú,13909,2613909,Serra Talhada
26,Pernambuco,2604,Petrolina,260017,Salgueiro,1,Sertão Pernambucano,2,Salgueiro,14006,2614006,Serrita
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,14105,2614105,Sertânia
26,Pernambuco,2601,Recife,260007,Barreiros - Sirinhaém,4,Mata Pernambucana,15,Mata Meridional Pernambucana,14204,2614204,Sirinhaém
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,14402,2614402,Solidão
26,Pernambuco,2601,Recife,260008,Surubim,3,Agreste Pernambucano,9,Alto Capibaribe,14501,2614501,Surubim
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,14600,2614600,Tabira
26,Pernambuco,2602,Caruaru,260012,Belo Jardim ¿ Pesqueira,3,Agreste Pernambucano,8,Vale do Ipojuca,14709,2614709,Tacaimbó
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,2,São Francisco Pernambucano,6,Itaparica,14808,2614808,Tacaratu
26,Pernambuco,2601,Recife,260007,Barreiros - Sirinhaém,4,Mata Pernambucana,15,Mata Meridional Pernambucana,14857,2614857,Tamandaré
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,9,Alto Capibaribe,15003,2615003,Taquaritinga do Norte
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,15102,2615102,Terezinha
26,Pernambuco,2604,Petrolina,260017,Salgueiro,2,São Francisco Pernambucano,5,Petrolina,15201,2615201,Terra Nova
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,15300,2615300,Timbaúba
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,9,Alto Capibaribe,15409,2615409,Toritama
26,Pernambuco,2601,Recife,260006,Carpina,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,15508,2615508,Tracunhaém
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,15607,2615607,Trindade
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,3,Pajeú,15706,2615706,Triunfo
26,Pernambuco,2602,Caruaru,260011,Arcoverde,3,Agreste Pernambucano,7,Vale do Ipanema,15805,2615805,Tupanatinga
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,15904,2615904,Tuparetama
26,Pernambuco,2602,Caruaru,260011,Arcoverde,3,Agreste Pernambucano,7,Vale do Ipanema,16001,2616001,Venturosa
26,Pernambuco,2604,Petrolina,260017,Salgueiro,1,Sertão Pernambucano,2,Salgueiro,16100,2616100,Verdejante
26,Pernambuco,2601,Recife,260008,Surubim,3,Agreste Pernambucano,9,Alto Capibaribe,16183,2616183,Vertente do Lério
26,Pernambuco,2601,Recife,260008,Surubim,3,Agreste Pernambucano,9,Alto Capibaribe,16209,2616209,Vertentes
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,16308,2616308,Vicência
26,Pernambuco,2601,Recife,260005,Vitória de Santo Antão,4,Mata Pernambucana,14,Vitória de Santo Antão,16407,2616407,Vitória de Santo Antão
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,16506,2616506,Xexéu
